CODE / NAME,LAST PRICE,$ / % CHANGE
"MIN
					 MINERAL RESOURCES LIMITED",24.330,1.570 (6.898%)
"TLX
					 TELIX PHARMACEUTICALS LIMITED",29.200,1.220 (4.360%)
"FMG
					 FORTESCUE LTD",16.300,0.510 (3.229%)
"GOR
					 GOLD ROAD RESOURCES LIMITED",2.450,0.070 (2.941%)
"PME
					 PRO MEDICUS LIMITED",229.900,6.320 (2.826%)
"QAN
					 QANTAS AIRWAYS LIMITED",9.260,0.240 (2.660%)
"NAB
					 NATIONAL AUSTRALIA BANK LIMITED",33.910,0.730 (2.200%)
"IMD
					 IMDEX LIMITED",2.960,0.060 (2.069%)
"ZIP
					 ZIP CO LIMITED..",1.905,0.035 (1.871%)
"ALL
					 ARISTOCRAT LEISURE LIMITED",66.890,1.180 (1.795%)
